customer_city,total_orders,on_time_count,on_time_pct,avg_review_score,review_count,lat,lng
maceio,235,165,70.21,3.7296137339055795,233,-9.629092475768113,-35.7312047851864
petropolis,233,203,87.12,3.9655172413793105,232,-22.476819286296735,-43.17086761038719
sao carlos,233,224,96.14,4.257510729613734,233,-22.13770432887483,-48.02021764135584
campos dos goytacazes,232,198,85.34,4.030434782608696,230,-21.76135912690406,-41.32067953101643
suzano,228,216,94.74,4.233480176211454,227,-23.549529536840787,-46.30959916897046
macae,227,185,81.5,3.6919642857142856,224,-22.380942145066847,-41.788866243842506
volta redonda,227,186,81.94,3.9107142857142856,224,-22.50866919780627,-44.09717153758818
caxias do sul,218,200,91.74,4.192660550458716,218,-29.163658257979236,-51.17937527854719
guaruja,217,205,94.47,4.195348837209302,215,-23.978902860773424,-46.260405453262344
americana,216,198,91.67,4.314814814814815,216,-22.737256111041713,-47.323699357946985
aracaju,212,183,86.32,3.8773584905660377,212,-10.941346378601748,-37.06727810860317
montes claros,206,199,96.6,4.331707317073171,205,-16.728481233546685,-43.86084218725256
canoas,204,183,89.71,4.014705882352941,204,-29.92165587909877,-51.174495237165495
natal,201,179,89.05,4.04,200,-5.812242777634381,-35.22146264615494
betim,196,185,94.39,4.204188481675392,191,-19.954066182129804,-44.166961626958226
santa maria,196,180,91.84,4.2153846153846155,195,-29.550815260033453,-53.70951655838572
marilia,194,188,96.91,4.290155440414508,193,-22.209445287469656,-49.9476115040202
jacarei,188,176,93.62,4.149732620320855,187,-23.296728672789843,-45.96374124064235
uberaba,186,177,95.16,4.5,186,-19.75282386637189,-47.93583744999281
limeira,184,175,95.11,4.266304347826087,184,-22.573478963977,-47.408479247924
